19:49:25.593 [main] INFO  api.tests.Usertest - ****creating user********
19:49:33.566 [main] INFO  api.tests.Usertest - ****creating created********
19:49:33.633 [main] INFO  api.tests.Usertest - ****getting user********
19:49:35.955 [main] INFO  api.tests.Usertest - ****got user********
19:49:35.963 [main] INFO  api.tests.Usertest - ****updating user********
19:49:38.881 [main] INFO  api.tests.Usertest - ****updated user********
19:49:38.892 [main] INFO  api.tests.Usertest - ****deleting user********
19:49:40.211 [main] INFO  api.tests.Usertest - ****deleted user********
20:14:50.494 [main] INFO  api.tests.Usertest - ****creating user********
20:14:55.755 [main] INFO  api.tests.Usertest - ****creating created********
20:14:55.795 [main] INFO  api.tests.Usertest - ****getting user********
20:14:57.213 [main] INFO  api.tests.Usertest - ****got user********
20:14:57.220 [main] INFO  api.tests.Usertest - ****updating user********
20:14:59.856 [main] INFO  api.tests.Usertest - ****updated user********
20:14:59.860 [main] INFO  api.tests.Usertest - ****deleting user********
20:15:01.136 [main] INFO  api.tests.Usertest - ****deleted user********
20:17:57.943 [main] INFO  api.tests.Usertest2 - ****creating user********
20:18:03.702 [main] INFO  api.tests.Usertest2 - ****creating created********
20:18:03.741 [main] INFO  api.tests.Usertest2 - ****getting user********
20:18:05.515 [main] INFO  api.tests.Usertest2 - ****got user********
20:18:05.520 [main] INFO  api.tests.Usertest2 - ****updating user********
20:18:09.061 [main] INFO  api.tests.Usertest2 - ****updated user********
20:18:09.066 [main] INFO  api.tests.Usertest2 - ****deleting user********
20:18:10.405 [main] INFO  api.tests.Usertest2 - ****deleted user********
21:24:11.393 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:24:11.452 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:24:11.455 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:24:11.457 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:24:11.540 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:24:11.570 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:24:11.572 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:24:11.637 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:24:11.640 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:24:11.642 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:54.944 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:54.979 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:28:54.989 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:57.819 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:57.824 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:28:57.828 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:58.071 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:58.076 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:28:58.082 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:58.430 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:58.435 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:28:58.459 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:58.693 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:58.697 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
21:28:58.701 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
21:28:58.858 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
21:28:58.862 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
